proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
EndpointStore,pong,0,0,0.0,5043.050484,214.739553,3.936485,3.970928,289.230434,42.486172,6.884661,6.915802,42.516709
EndpointStore,pong,0,0,0.0,639.544535,45.821769,3.168393,3.195865,89.939102,42.053118,6.763071,6.824885,42.075653
EndpointStore,pong,0,0,0.0,705.825343,45.677324,3.124305,3.151426,91.895102,42.323705,7.497931,7.534008,42.361673
EndpointStore,pong,0,0,0.0,557.346534,46.440193,3.119454,3.146947,92.2254,42.263927,7.541511,7.577036,42.283784
EndpointStore,pong,0,0,0.0,657.015099,49.317094,3.289519,3.31679,98.635313,44.750127,7.264706,7.30214,44.772913
EndpointStore,pong,10,0,0.0,540.727346,62.182404,3.268848,3.297621,107.72465,41.847445,7.479563,7.517834,41.866725
EndpointStore,pong,10,0,0.0,587.17161,50.045978,3.167594,3.19499,97.979278,42.420854,9.564081,9.612501,42.44027
EndpointStore,pong,10,0,0.0,578.253635,45.951829,3.137184,3.16377,91.467229,43.000174,8.080339,8.129292,43.020782
EndpointStore,pong,10,0,0.0,591.840101,45.845212,3.071182,3.096347,92.669601,41.932168,8.216346,8.268062,41.950988
EndpointStore,pong,10,0,0.0,562.322811,45.660209,3.150499,3.176687,91.041264,41.813643,8.181964,8.227815,41.832618
EndpointStore,pong,100,0,0.0,592.667588,46.914943,3.128503,3.155351,109.715428,41.987937,30.203625,30.240511,42.007551
EndpointStore,pong,100,0,0.0,571.853858,50.057985,3.355593,3.383594,95.129024,41.995297,11.736585,11.775577,42.016364
EndpointStore,pong,100,0,0.0,569.990971,45.852874,3.093557,3.122861,90.265051,42.267792,7.05589,7.087101,42.288693
EndpointStore,pong,100,0,0.0,585.756284,45.571757,3.259043,3.288242,90.425956,45.393018,7.029633,7.062773,45.415444
EndpointStore,pong,100,0,0.0,588.591721,45.297978,3.20691,3.233953,90.076684,42.062447,7.024023,7.068501,42.082702
EndpointStore,pong,1000,0,0.0,572.625702,51.62862,3.166884,3.194123,108.881493,41.936817,18.76888,18.807912,41.95724
EndpointStore,pong,1000,0,0.0,578.811815,51.999037,3.333334,3.360661,97.388726,41.961318,7.326688,7.368285,41.983337
EndpointStore,pong,1000,0,0.0,574.085386,45.884659,3.167488,3.194246,91.145177,42.205879,7.009354,7.046931,42.227905
EndpointStore,pong,1000,0,0.0,610.329874,51.871807,3.195151,3.224058,97.205418,44.98403,6.865705,6.991864,45.003799
EndpointStore,pong,1000,0,0.0,588.9342,45.45203,3.292961,3.321351,92.370272,42.119881,7.064217,7.104652,42.139425
EndpointStore,pong,10000,0,0.0,563.961872,119.414457,3.260928,3.289558,165.277656,41.878738,7.269876,7.304731,41.899904
EndpointStore,pong,10000,0,0.0,593.767144,82.892803,3.237252,3.265075,128.171298,42.438752,7.383021,7.420452,42.461262
EndpointStore,pong,10000,0,0.0,608.113444,83.218237,3.840918,3.869976,129.37947,42.388639,8.062109,8.095576,42.409885
EndpointStore,pong,10000,0,0.0,607.127335,83.282539,3.603713,3.633829,131.073476,45.028134,7.216965,7.249738,45.050031
EndpointStore,pong,10000,0,0.0,606.135986,83.087463,3.571249,3.601278,128.32181,42.302409,7.204791,7.239549,42.32381
EndpointStore,pong,100000,0,0.0,568.032801,200.308595,3.439547,3.468044,245.249267,41.276595,7.167929,7.209675,41.29703
EndpointStore,pong,100000,0,0.0,568.659839,160.199736,3.451471,3.47956,205.153403,41.778634,7.363009,7.396012,41.797944
EndpointStore,pong,100000,0,0.0,557.272478,160.215103,3.329903,3.357493,204.998073,41.9994,7.212939,7.250287,42.019207
EndpointStore,pong,100000,0,0.0,578.489561,159.799164,3.425109,3.454085,204.688,41.931301,7.150306,7.267886,41.950881
EndpointStore,pong,100000,0,0.0,565.444704,162.169792,3.668739,3.696426,207.338845,41.931151,7.198255,7.234866,41.950754
EndpointStore,pong,1000000,0,0.0,14467.351287,11105.732786,7.282546,7.308362,11220.686885,113.18607,5.426657,5.456075,113.217544
EndpointStore,pong,1000000,0,0.0,1057.99542,489.206914,5.241762,5.269796,603.905378,112.20192,5.746119,5.777478,112.218642
EndpointStore,pong,1000000,0,0.0,1044.277105,486.267871,4.77116,4.796381,602.407438,111.927236,10.279361,10.336814,111.943571
EndpointStore,pong,1000000,0,0.0,1086.464253,449.632747,5.116692,5.145647,564.079258,112.023577,5.757899,5.782222,112.04087
EndpointStore,pong,1000000,0,0.0,1026.248837,448.978257,4.79235,4.819142,563.846727,114.459839,5.635633,5.680069,114.477171
EndpointStore,pong,10000000,0,0.0,2814.284791,2170.810714,22.348404,22.384734,2287.100707,113.234838,5.904676,5.939855,113.256061
EndpointStore,pong,10000000,0,0.0,3263.940515,2619.15332,20.42971,20.464415,2735.963763,112.935129,6.148857,6.177891,112.956882
EndpointStore,pong,10000000,0,0.0,4164.146291,3584.245143,20.481075,20.51624,3700.272299,112.706592,5.354256,5.383683,112.728139
EndpointStore,pong,10000000,0,0.0,2931.703335,2342.621357,20.331858,20.368062,2458.026948,112.870787,5.842227,5.873079,112.891451
