proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
RedisStore,pong,0,0,0.0,4650.879811,0.799879,0.612697,0.672251,1.309021,0.456481,0.18137,0.218129,0.496223
RedisStore,pong,0,0,0.0,524.80487,0.171808,0.159284,0.187025,0.286456,0.519274,0.111677,0.13269,0.553022
RedisStore,pong,0,0,0.0,441.614596,0.322965,0.247681,0.293021,0.552539,0.496648,0.223583,0.26702,0.520383
RedisStore,pong,0,0,0.0,444.925437,0.186252,0.222908,0.259728,0.372113,0.170443,0.314987,0.346212,0.18439
RedisStore,pong,0,0,0.0,473.428714,0.340134,0.142093,0.163705,0.598032,0.619038,0.250551,0.295044,0.650576
RedisStore,pong,10,0,0.0,556.127907,0.150272,0.305563,0.357741,0.268666,0.438002,0.103173,0.121029,0.463309
RedisStore,pong,10,0,0.0,464.758809,0.328703,0.251243,0.291759,0.569081,0.408368,0.232973,0.274939,0.430662
RedisStore,pong,10,0,0.0,443.552233,0.137826,0.145764,0.176361,0.25672,0.344509,0.102638,0.119883,0.372917
RedisStore,pong,10,0,0.0,460.469147,0.279136,0.240631,0.279047,0.494587,0.421812,0.20578,0.242406,0.441346
RedisStore,pong,10,0,0.0,440.899544,0.166594,0.124505,0.144999,0.341651,0.566473,0.104266,0.121773,0.58704
RedisStore,pong,100,0,0.0,535.460064,0.325882,0.159069,0.181968,0.477535,0.196014,0.119318,0.144708,0.211017
RedisStore,pong,100,0,0.0,465.773914,0.161806,0.306162,0.329559,0.283555,0.339516,0.124066,0.14303,0.364413
RedisStore,pong,100,0,0.0,459.311235,0.187419,0.426044,0.476898,0.310431,0.266294,0.119297,0.139103,0.287041
RedisStore,pong,100,0,0.0,461.433559,0.155575,0.386829,0.407581,0.270728,0.214128,0.112534,0.131028,0.230346
RedisStore,pong,100,0,0.0,440.987185,0.150486,0.41482,0.444702,0.264509,0.266022,0.111551,0.129942,0.286005
RedisStore,pong,1000,0,0.0,425.501197,0.175131,0.162221,0.184108,0.295032,0.151941,0.189608,0.209257,0.162933
RedisStore,pong,1000,0,0.0,464.777269,0.15762,0.243793,0.267513,0.27263,0.29386,0.114577,0.134043,0.31116
RedisStore,pong,1000,0,0.0,453.07841,0.175955,0.149308,0.171946,0.295607,0.264889,0.117989,0.139013,0.277719
RedisStore,pong,1000,0,0.0,617.169587,0.160322,0.144929,0.16525,0.277704,0.189169,0.115321,0.135805,0.204314
RedisStore,pong,1000,0,0.0,442.022269,0.400641,0.256522,0.291014,0.681039,0.298731,0.270374,0.318371,0.312581
RedisStore,pong,10000,0,0.0,415.200131,0.260262,0.182872,0.203179,0.395152,0.171043,0.117516,0.138349,0.183437
RedisStore,pong,10000,0,0.0,450.504209,0.193268,0.156082,0.176865,0.315614,0.306537,0.115103,0.135594,0.32086
RedisStore,pong,10000,0,0.0,481.06208,0.159708,0.185565,0.207202,0.27632,0.372703,0.112979,0.131411,0.389603
RedisStore,pong,10000,0,0.0,450.838174,0.339054,0.177699,0.201496,0.540775,0.552824,0.192172,0.228565,0.587235
RedisStore,pong,10000,0,0.0,463.317142,0.268465,0.348226,0.373293,0.485853,0.538938,0.203921,0.239535,0.564682
RedisStore,pong,100000,0,0.0,440.069962,0.453544,0.340933,0.362967,0.651175,0.452838,0.211274,0.245568,0.484184
RedisStore,pong,100000,0,0.0,470.724668,0.357395,0.206398,0.228041,0.618181,7.139242,0.244595,0.288025,7.154727
RedisStore,pong,100000,0,0.0,457.395442,0.281879,0.197822,0.2184,0.409478,0.292725,0.109163,0.127166,0.30802
RedisStore,pong,100000,0,0.0,459.876503,0.420964,0.22106,0.244045,0.620515,0.415149,0.184505,0.218527,0.444929
RedisStore,pong,100000,0,0.0,437.197519,0.27433,0.194449,0.215847,0.415162,0.388415,0.219322,0.238538,0.411519
RedisStore,pong,100000,0,0.0,457.755515,0.505362,0.312274,0.345959,0.74742,0.516648,0.225044,0.266904,0.548511
RedisStore,pong,100000,0,0.0,450.486968,0.237,0.454668,0.505636,0.368378,0.210319,0.121656,0.141196,0.234107
