proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
GlobusStore,pong,0,0,1.0,7111.127934,1337.100506,438.64123,438.760459,521.599003,3159.59162,548.020843,548.0687,3159.641164
GlobusStore,pong,0,0,1.0,7138.511957,3208.803416,123.436465,123.535177,2376.136136,3161.52332,174.320096,174.356812,3161.564155
GlobusStore,pong,0,0,1.0,7179.983594,3195.207425,150.849882,150.945969,2345.921739,3147.8097,176.31518,176.352857,3147.838457
GlobusStore,pong,0,0,1.0,7075.722997,3196.419304,151.170847,151.273858,2344.87692,3150.898281,153.069352,153.111751,3150.938785
GlobusStore,pong,0,0,1.0,7407.238155,3193.906858,228.690597,228.762647,2346.111489,3415.629682,169.275957,169.313012,3415.672715
GlobusStore,pong,10,0,1.0,7519.575622,3556.191638,138.205252,138.301335,2709.042457,3203.807643,178.349004,178.403273,3203.845683
GlobusStore,pong,10,0,1.0,7261.539509,3199.603719,129.296292,129.417302,2353.438152,3318.896884,157.875804,157.939483,3318.935037
GlobusStore,pong,10,0,1.0,7097.624014,3197.118165,126.237572,126.330483,2351.536991,3155.427703,165.273619,165.320154,3155.467726
GlobusStore,pong,10,0,1.0,7337.640964,3197.49455,173.768146,173.854786,2347.524979,3408.757291,161.047085,161.101949,3408.794009
GlobusStore,pong,10,0,1.0,7380.254537,3389.810255,470.59203,470.691874,2539.622798,3192.679404,167.231014,167.290807,3192.720462
GlobusStore,pong,100,0,1.0,7563.24556,3417.320674,153.234051,153.312677,2532.716243,3196.27512,169.232941,169.272918,3196.318911
GlobusStore,pong,100,0,1.0,7114.046257,3153.747115,205.053677,205.160724,2275.576699,3197.999933,189.013922,189.070836,3198.040024
GlobusStore,pong,100,0,1.0,8682.224688,3148.4285,165.510558,165.59675,2268.839946,4542.872162,141.139886,141.172622,4542.912593
GlobusStore,pong,100,0,1.0,7108.592356,3165.753345,221.999734,222.09887,2283.342396,3207.067272,144.397573,144.457313,3207.228637
GlobusStore,pong,100,0,1.0,7566.215956,3454.899409,174.328944,174.471641,2585.832976,3200.968807,164.571177,164.608741,3201.035728
GlobusStore,pong,1000,0,1.0,7136.407522,3164.428331,187.769797,187.847853,2293.898705,3192.888282,184.337747,184.369185,3192.938743
GlobusStore,pong,1000,0,1.0,7083.490249,3167.674681,157.32997,157.416224,2286.748988,3192.768901,154.319755,154.35222,3192.806874
GlobusStore,pong,1000,0,1.0,64409.975945,3160.40329,205.015106,205.100931,2278.704642,60569.84451,144.000405,144.053403,60569.878475
GlobusStore,pong,1000,0,1.0,7359.354241,3394.478119,135.783743,135.863583,2514.55549,3160.83192,139.988996,140.02364,3160.8633
GlobusStore,pong,1000,0,1.0,7414.803897,3228.485168,169.93739,170.015429,2351.784073,3403.65904,143.391947,143.451639,3403.703217
GlobusStore,pong,10000,0,1.0,8200.501142,3159.211946,126.018899,126.079165,2284.029609,4189.038698,142.67473,142.723771,4189.07022
GlobusStore,pong,10000,0,1.0,8064.579209,3165.073881,159.353512,159.466408,2291.805767,4192.031696,136.139202,136.244382,4192.05694
GlobusStore,pong,10000,0,1.0,7571.483675,3532.944017,671.040551,671.118317,2655.026318,3189.571414,157.159045,157.201903,3189.608354
GlobusStore,pong,10000,0,1.0,7118.361393,3160.145786,168.114102,168.172786,2289.491683,3192.175366,162.724056,162.776622,3192.211939
GlobusStore,pong,10000,0,1.0,7071.722842,3161.317117,157.782401,157.872931,2285.339722,3196.725208,133.669188,133.727564,3196.75529
GlobusStore,pong,100000,0,1.0,7120.019823,3183.921161,165.40404,165.502392,2310.489256,3196.731119,131.319996,131.367127,3196.762029
GlobusStore,pong,100000,0,1.0,7466.803011,3360.292403,181.072978,181.145233,2484.247735,3384.478959,139.655623,139.703351,3384.510233
GlobusStore,pong,100000,0,1.0,8093.37107,3161.42989,151.861437,151.934387,2286.964737,4228.305217,120.266667,120.302265,4228.33439
GlobusStore,pong,100000,0,1.0,6622.740831,2519.689889,171.904133,171.983528,1664.932577,3196.380783,174.878604,174.939024,3196.425636
GlobusStore,pong,100000,0,1.0,7174.100903,3190.819505,181.443753,181.518508,2335.527225,3196.470941,183.635558,183.671116,3196.502427
GlobusStore,pong,1000000,0,1.0,7512.207152,3203.25377,175.002473,175.088671,2345.915443,3550.142881,177.017856,177.19304,3550.173158
GlobusStore,pong,1000000,0,1.0,7146.743474,3181.543988,249.354741,249.442732,2331.274261,3187.085099,158.421062,158.478192,3187.118472
GlobusStore,pong,1000000,0,1.0,7392.780156,3436.313098,151.869075,151.948341,2583.923106,3189.210978,157.776136,157.80875,3189.248558
GlobusStore,pong,1000000,0,1.0,7155.760472,3192.550109,174.204495,174.269293,2337.095773,3187.410263,167.893761,167.926976,3187.452128
GlobusStore,pong,1000000,0,1.0,7354.814342,3194.770865,154.522334,154.610905,2337.187346,3393.061188,158.889025,158.921512,3393.087701
GlobusStore,pong,10000000,0,1.0,7149.945171,3211.410696,170.582336,170.679228,2355.053128,3185.958933,156.848599,156.900438,3186.002785
GlobusStore,pong,10000000,0,1.0,7282.95397,3217.988161,156.828837,156.920005,2361.390505,3198.94667,196.78542,196.818392,3198.980228
GlobusStore,pong,10000000,0,1.0,7309.42943,3021.69873,160.044068,160.131976,2286.54975,3194.295564,167.21028,167.279518,3194.329381
GlobusStore,pong,10000000,0,1.0,7412.328734,3224.522438,170.537274,170.623293,2379.663508,3389.132119,174.407307,174.438886,3389.166679
GlobusStore,pong,10000000,0,1.0,7185.350111,3223.574591,165.278952,165.367464,2377.317981,3187.636552,161.970243,162.007454,3187.669331
GlobusStore,pong,100000000,0,1.0,8319.777473,3361.503763,652.898958,653.025803,2538.637575,4192.128611,160.046178,160.121515,4192.17662
GlobusStore,pong,100000000,0,1.0,7493.85834,3549.57902,280.75468,280.854097,2729.370259,3164.132051,165.699047,165.735986,3164.167191
GlobusStore,pong,100000000,0,1.0,7360.099271,3349.871997,295.305317,295.392603,2527.720844,3184.073981,161.998831,162.057264,3184.116746
GlobusStore,pong,100000000,0,1.0,7625.875549,3338.457399,287.70556,287.779615,2511.471232,3353.625456,207.369362,207.420668,3353.661226
GlobusStore,pong,100000000,0,1.0,7346.357643,3350.292551,354.55555,354.664815,2524.437707,3172.468961,156.195639,156.258571,3172.506844
EndpointStore,pong,0,0,1.0,5506.799765,21.792544,6.790086,6.854952,0.02642,11.227295,10.756221,10.786352,11.262834
EndpointStore,pong,0,0,1.0,1359.745315,13.215448,5.562351,5.609538,0.014334,11.08998,9.061607,9.108785,11.124676
EndpointStore,pong,0,0,1.0,1338.864164,15.568018,4.844393,4.89224,0.014989,11.552227,7.671364,7.698788,11.591244
EndpointStore,pong,0,0,1.0,1346.439619,11.180236,5.911461,5.957837,0.014661,10.374871,8.419369,8.47948,10.409589
EndpointStore,pong,0,0,1.0,1326.670677,11.582587,5.66336,5.708355,0.025037,14.750177,9.014944,9.059764,14.784969
EndpointStore,pong,10,0,1.0,1325.582132,12.18855,4.720008,4.770403,0.024713,12.173367,11.266206,11.296719,12.220934
EndpointStore,pong,10,0,1.0,1338.395078,19.193773,4.712068,4.764583,0.024483,11.648199,10.2076,10.249734,11.688926
EndpointStore,pong,10,0,1.0,1330.694708,18.0569,4.736026,4.774497,0.01055,10.525846,7.079762,7.140392,10.560141
EndpointStore,pong,10,0,1.0,1327.189247,10.610839,4.587919,4.646023,0.025067,11.21304,11.902335,11.950398,11.249563
EndpointStore,pong,10,0,1.0,1332.350668,16.14164,4.788553,4.827318,0.021407,12.367371,10.994646,11.018017,12.402726
EndpointStore,pong,100,0,1.0,1320.74824,14.994348,4.580222,4.628558,0.018327,10.419123,10.311481,10.363274,10.454805
EndpointStore,pong,100,0,1.0,1326.576755,12.115928,4.999171,5.046043,0.010641,11.603412,11.099193,11.135511,11.638347
EndpointStore,pong,100,0,1.0,1318.887787,11.600631,6.095996,6.142165,0.018106,11.891969,11.293508,11.315989,11.929086
EndpointStore,pong,100,0,1.0,1350.022667,10.237875,4.291593,4.328156,0.01732,13.537543,11.291766,11.341347,13.566549
EndpointStore,pong,100,0,1.0,1332.921438,9.973465,4.374095,4.420902,0.02057,9.287184,11.779002,11.815007,9.322689
EndpointStore,pong,1000,0,1.0,1334.620174,14.612253,4.699865,4.753865,0.019913,11.380079,10.933147,10.981044,11.417416
EndpointStore,pong,1000,0,1.0,1325.058162,13.079473,5.063,5.121081,0.010923,10.740661,11.782505,11.828526,10.775596
EndpointStore,pong,1000,0,1.0,1334.004092,14.733845,6.063457,6.110292,0.042253,11.170165,11.736405,11.768505,11.207254
EndpointStore,pong,1000,0,1.0,1338.093481,12.091864,4.519016,4.567491,0.010175,14.16122,7.299133,7.33209,14.201809
EndpointStore,pong,1000,0,1.0,1322.757009,12.582677,4.341558,4.400554,0.018417,9.882477,12.836278,12.858796,9.914191
EndpointStore,pong,10000,0,1.0,1319.779919,13.602892,4.80085,4.841091,0.01031,11.549904,12.205665,12.247646,11.588934
EndpointStore,pong,10000,0,1.0,1338.822459,14.009958,4.461887,4.509071,0.010642,11.322207,11.64696,11.687932,11.353985
EndpointStore,pong,10000,0,1.0,1311.625932,19.69767,4.749758,4.795349,0.017494,10.412946,11.405127,11.45698,10.450487
EndpointStore,pong,10000,0,1.0,1329.3258,15.417965,5.427035,5.47178,0.01763,20.249021,9.71364,9.757776,20.281257
EndpointStore,pong,10000,0,1.0,1324.766205,13.057926,8.257965,8.318602,0.007153,11.190405,10.955328,10.996783,11.225336
EndpointStore,pong,100000,0,1.0,1309.650244,29.352548,4.893671,4.941768,0.009329,10.84861,8.237051,8.271983,10.899178
EndpointStore,pong,100000,0,1.0,1322.104717,32.563311,4.994711,5.039093,0.020797,11.287879,13.628564,13.652174,11.32074
EndpointStore,pong,100000,0,1.0,1333.590357,30.503721,5.092178,5.13678,0.010197,10.702623,9.595293,9.636112,10.740046
EndpointStore,pong,100000,0,1.0,1340.707993,28.837663,4.121545,4.166742,0.011975,17.52169,6.276954,6.302477,17.558399
EndpointStore,pong,100000,0,1.0,1328.709579,31.015286,7.124094,7.17068,0.017797,11.040179,5.514713,5.538171,11.075795
EndpointStore,pong,1000000,0,1.0,2752.542271,116.277473,9.756164,9.816423,0.044056,15.567546,7.224564,7.285261,15.611886
EndpointStore,pong,1000000,0,1.0,1312.125191,95.440748,8.854108,8.901683,0.009791,15.327969,8.806842,8.843041,15.378399
EndpointStore,pong,1000000,0,1.0,1340.479931,97.438671,7.187027,7.259823,0.012239,14.389023,10.694536,10.724239,14.425578
EndpointStore,pong,1000000,0,1.0,1333.42681,99.252954,8.214473,8.276004,0.014584,14.837565,10.596864,10.641067,14.882011
EndpointStore,pong,1000000,0,1.0,1360.416285,101.053257,7.4212,7.482435,0.019813,19.138096,10.244863,10.287401,19.176881
EndpointStore,pong,10000000,0,1.0,1330.305052,770.895845,35.931488,36.005423,0.022004,13.919956,10.335456,10.390713,13.951431
