proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
,pong,0,0,1.0,61885.270096,,,,,,,,
,pong,0,0,1.0,1607.387176,,,,,,,,
,pong,0,0,1.0,1404.773753,,,,,,,,
,pong,0,0,1.0,1375.668772,,,,,,,,
,pong,0,0,1.0,1411.564026,,,,,,,,
,pong,10,0,1.0,1363.281608,,,,,,,,
,pong,10,0,1.0,1415.6874,,,,,,,,
,pong,10,0,1.0,1407.217945,,,,,,,,
,pong,10,0,1.0,1381.523555,,,,,,,,
,pong,10,0,1.0,1386.641931,,,,,,,,
,pong,100,0,1.0,1381.234895,,,,,,,,
,pong,100,0,1.0,1404.298664,,,,,,,,
,pong,100,0,1.0,1385.450753,,,,,,,,
,pong,100,0,1.0,1390.407225,,,,,,,,
,pong,100,0,1.0,1391.729389,,,,,,,,
,pong,1000,0,1.0,1381.932621,,,,,,,,
,pong,1000,0,1.0,1371.772373,,,,,,,,
,pong,1000,0,1.0,1390.675406,,,,,,,,
,pong,1000,0,1.0,1390.004162,,,,,,,,
,pong,1000,0,1.0,1401.984684,,,,,,,,
,pong,10000,0,1.0,1502.219736,,,,,,,,
,pong,10000,0,1.0,1511.306847,,,,,,,,
,pong,10000,0,1.0,1527.067552,,,,,,,,
,pong,10000,0,1.0,1524.217291,,,,,,,,
,pong,10000,0,1.0,1539.664059,,,,,,,,
,pong,100000,0,1.0,2052.375571,,,,,,,,
,pong,100000,0,1.0,1933.274614,,,,,,,,
,pong,100000,0,1.0,1867.739228,,,,,,,,
,pong,100000,0,1.0,1869.823618,,,,,,,,
,pong,100000,0,1.0,1919.93574,,,,,,,,
,pong,100000,0,1.0,1953.878539,,,,,,,,
,pong,100000,0,1.0,1900.807593,,,,,,,,
,pong,100000,0,1.0,1888.732113,,,,,,,,
,pong,100000,0,1.0,1897.760673,,,,,,,,
,pong,100000,0,1.0,1878.27482,,,,,,,,
,pong,1000000,0,1.0,2496.32458,,,,,,,,
,pong,1000000,0,1.0,2644.302591,,,,,,,,
,pong,1000000,0,1.0,2402.008732,,,,,,,,
,pong,1000000,0,1.0,2365.130139,,,,,,,,
,pong,1000000,0,1.0,2443.460752,,,,,,,,
,pong,10000000,0,1.0,4276.625347,,,,,,,,
,pong,10000000,0,1.0,3835.200139,,,,,,,,
,pong,10000000,0,1.0,4073.615892,,,,,,,,
,pong,10000000,0,1.0,3900.107409,,,,,,,,
,pong,10000000,0,1.0,3994.460186,,,,,,,,
