proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
,pong,0,0,1.0,5651.476154,,,,,,,,
,pong,0,0,1.0,1410.067651,,,,,,,,
,pong,0,0,1.0,1323.955707,,,,,,,,
,pong,0,0,1.0,1293.279881,,,,,,,,
,pong,0,0,1.0,1303.355947,,,,,,,,
,pong,10,0,1.0,1307.940918,,,,,,,,
,pong,10,0,1.0,1360.026127,,,,,,,,
,pong,10,0,1.0,1372.86006,,,,,,,,
,pong,10,0,1.0,1327.08567,,,,,,,,
,pong,10,0,1.0,1378.187311,,,,,,,,
,pong,100,0,1.0,1338.519524,,,,,,,,
,pong,100,0,1.0,1312.251767,,,,,,,,
,pong,100,0,1.0,1282.046259,,,,,,,,
,pong,100,0,1.0,1378.97292,,,,,,,,
,pong,100,0,1.0,1322.849924,,,,,,,,
,pong,1000,0,1.0,1288.855933,,,,,,,,
,pong,1000,0,1.0,1300.070203,,,,,,,,
,pong,1000,0,1.0,1302.888082,,,,,,,,
,pong,1000,0,1.0,1473.528129,,,,,,,,
,pong,1000,0,1.0,1316.32989,,,,,,,,
,pong,10000,0,1.0,1355.198002,,,,,,,,
,pong,10000,0,1.0,1388.714345,,,,,,,,
,pong,10000,0,1.0,1334.167398,,,,,,,,
,pong,10000,0,1.0,1326.848635,,,,,,,,
,pong,10000,0,1.0,1336.386306,,,,,,,,
,pong,100000,0,1.0,1565.29058,,,,,,,,
,pong,100000,0,1.0,1756.632445,,,,,,,,
,pong,100000,0,1.0,1742.401886,,,,,,,,
,pong,100000,0,1.0,1546.896844,,,,,,,,
,pong,100000,0,1.0,1534.916289,,,,,,,,
,pong,100000,0,1.0,1559.035679,,,,,,,,
,pong,100000,0,1.0,1546.047943,,,,,,,,
,pong,100000,0,1.0,1743.740674,,,,,,,,
,pong,100000,0,1.0,1624.775705,,,,,,,,
,pong,100000,0,1.0,1584.628074,,,,,,,,
,pong,1000000,0,1.0,1825.820197,,,,,,,,
,pong,1000000,0,1.0,1853.271061,,,,,,,,
,pong,1000000,0,1.0,2026.676881,,,,,,,,
,pong,1000000,0,1.0,1798.220382,,,,,,,,
,pong,1000000,0,1.0,1849.131,,,,,,,,
FileStore,pong,0,0,1.0,4750.792484,1.108598,1.925984,1.958028,0.01631,1.193527,2.412021,2.458895,1.234197
FileStore,pong,0,0,1.0,1324.64754,0.815124,1.866498,2.09458,0.025688,1.233614,2.084571,2.117205,1.270904
FileStore,pong,0,0,1.0,1300.186032,1.074964,2.079817,2.136087,0.025377,1.152975,2.273949,2.328692,1.185055
FileStore,pong,0,0,1.0,1337.713331,1.084144,2.129884,2.187325,0.025946,1.156941,2.155381,2.199015,1.184286
FileStore,pong,0,0,1.0,1318.215866,0.841865,1.911048,1.935742,0.015423,1.240773,1.922708,1.954323,1.277803
FileStore,pong,10,0,1.0,1299.789944,0.864722,1.907366,1.962558,0.02577,1.030809,2.142942,2.183358,1.0547
FileStore,pong,10,0,1.0,1303.226373,3.387732,1.878376,1.90427,0.015852,1.170871,1.987623,2.029852,1.208484
FileStore,pong,10,0,1.0,1322.506223,0.899716,2.23816,2.297587,0.02576,1.009733,2.315438,2.362127,1.029316
FileStore,pong,10,0,1.0,1315.681383,1.106121,2.725082,2.752293,0.019127,0.973987,2.271874,2.324759,0.99995
FileStore,pong,10,0,1.0,1314.928657,0.790558,1.8396,1.866005,0.015627,1.167881,2.428895,2.479042,1.203527
FileStore,pong,100,0,1.0,1286.1537,0.800882,1.536924,1.562331,0.017819,1.185909,1.880845,1.919726,1.222613
FileStore,pong,100,0,1.0,1316.970449,0.827641,1.86821,1.897528,0.025887,1.153284,4.271912,4.318666,1.175487
FileStore,pong,100,0,1.0,1320.169192,0.868439,2.709354,2.738253,0.015377,1.161757,2.067619,2.106977,1.199757
FileStore,pong,100,0,1.0,1318.62713,2.389594,2.02996,2.089003,0.015209,1.112957,2.098165,2.136505,1.150498
FileStore,pong,100,0,1.0,1303.674333,1.100878,1.678555,1.707468,0.015614,1.042389,2.027123,2.067018,1.06932
FileStore,pong,1000,0,1.0,1294.988633,0.841654,1.893539,1.930029,0.026587,0.973995,1.924553,2.033221,1.000126
FileStore,pong,1000,0,1.0,1310.105264,1.10979,1.593758,1.62024,0.024266,1.082613,2.414575,2.468528,1.109213
FileStore,pong,1000,0,1.0,1293.210504,1.075007,1.77959,1.815525,0.02641,0.957802,2.176014,2.221155,0.983818
FileStore,pong,1000,0,1.0,1319.564968,1.197854,1.63023,1.656964,0.016421,1.02168,2.134536,2.175569,1.05513
FileStore,pong,1000,0,1.0,1307.457132,1.279725,1.89738,1.934066,0.025444,1.02809,2.357104,2.408122,1.053444
FileStore,pong,10000,0,1.0,1305.100756,1.021333,2.005548,2.032285,0.018874,0.687999,2.421997,2.468591,0.707333
FileStore,pong,10000,0,1.0,1307.471705,1.03538,1.739599,1.765835,0.015387,0.779906,1.998823,2.03865,0.798782
FileStore,pong,10000,0,1.0,1294.608939,0.728269,1.519222,1.544215,0.010477,0.859351,1.779517,1.806856,0.888045
FileStore,pong,10000,0,1.0,1289.977017,0.87292,1.729523,1.754761,0.01977,1.146744,1.925105,1.959345,1.191626
FileStore,pong,10000,0,1.0,1290.774821,0.845853,1.649162,1.690119,0.018663,1.069621,2.288337,2.340022,1.096836
FileStore,pong,100000,0,1.0,1297.092368,0.885391,1.783975,1.811338,0.010504,0.749834,1.802424,1.838332,0.768225
FileStore,pong,100000,0,1.0,1276.991385,1.078081,1.401021,1.456786,0.016659,0.906132,1.986151,2.0251,0.925817
FileStore,pong,100000,0,1.0,1280.549339,1.03161,1.866427,8.029364,0.025854,0.796534,2.161336,2.222043,0.816067
FileStore,pong,100000,0,1.0,1301.921679,1.453381,1.172452,1.198184,0.020565,0.692852,1.977829,2.026384,0.712378
FileStore,pong,100000,0,1.0,1301.128828,1.167271,1.75385,1.806634,0.023178,0.934705,1.939448,1.973115,0.962669
FileStore,pong,100000,0,1.0,1304.181929,1.184313,1.414855,1.445069,0.024738,1.061374,1.859654,1.894497,1.081224
FileStore,pong,100000,0,1.0,1312.414382,1.042997,1.90339,1.929813,0.016251,0.929115,1.866708,1.899111,0.958772
FileStore,pong,100000,0,1.0,1301.323412,1.21118,1.616047,1.656177,0.025817,0.812801,1.791335,1.822361,0.832384
FileStore,pong,100000,0,1.0,1464.339804,1.051798,1.768018,1.793878,0.024537,1.143127,2.222285,2.26516,1.182016
FileStore,pong,100000,0,1.0,1302.814962,1.283988,2.492931,2.519243,0.030466,0.910084,2.119314,2.165381,0.938138
FileStore,pong,1000000,0,1.0,1330.27875,4.47907,2.555469,2.581399,0.027027,0.847107,2.108933,2.142266,0.87323
FileStore,pong,1000000,0,1.0,1296.067904,1.559113,2.332757,2.360371,0.02575,0.848989,2.162413,2.205366,0.867753
FileStore,pong,1000000,0,1.0,1324.47361,1.533953,2.401927,2.427714,0.015975,0.957354,1.70581,1.737401,0.981003
FileStore,pong,1000000,0,1.0,1312.55824,1.738651,2.261386,2.288237,0.023575,1.237523,3.459713,3.514133,1.271869
FileStore,pong,1000000,0,1.0,1300.431599,1.412686,4.862449,4.888273,0.019385,0.99118,4.078258,4.119472,1.017941
FileStore,pong,10000000,0,1.0,1319.081069,7.272671,12.889689,12.933742,0.021109,0.957349,1.6158,1.664827,0.994743
FileStore,pong,10000000,0,1.0,1300.511689,6.111484,11.215449,11.268957,0.0242,1.036803,2.057986,2.112308,1.073141
FileStore,pong,10000000,0,1.0,1307.628085,7.07237,11.262545,11.295226,0.02556,1.162083,2.653855,2.708321,1.198217
FileStore,pong,10000000,0,1.0,1310.346888,7.392683,11.394756,11.439155,0.016342,0.820354,2.081048,2.140072,0.840046
FileStore,pong,10000000,0,1.0,1306.476811,6.290284,11.359733,11.416291,0.015979,1.119941,1.494586,1.527894,1.14578
FileStore,pong,100000000,0,1.0,1294.460494,68.448101,111.432989,111.581074,0.024483,0.966853,2.505734,2.560668,1.013486
FileStore,pong,100000000,0,1.0,1292.410142,67.286695,110.256175,110.306769,0.015639,1.025455,1.620917,1.672907,1.048207
FileStore,pong,100000000,0,1.0,1307.351576,68.421212,112.870127,112.919875,0.02505,1.007069,7.827278,7.878978,1.031583
FileStore,pong,100000000,0,1.0,1303.394139,68.27891,112.178668,112.31956,0.016187,1.037232,1.971942,2.022126,1.069608
FileStore,pong,100000000,0,1.0,1296.537493,67.855945,114.151833,114.271596,0.015777,1.014036,2.674752,2.71475,1.037399
FileStore,pong,1000000000,0,1.0,1458.974947,656.93782,1080.765962,1080.836561,0.010786,3.574916,7.833977,7.866844,3.602382
FileStore,pong,1000000000,0,1.0,1345.509387,698.079859,1131.946304,1132.060662,0.038546,0.894643,3.897531,3.947397,0.916857
FileStore,pong,1000000000,0,1.0,1379.757511,665.531957,1088.202177,1088.268108,0.019365,0.85456,2.023071,2.078539,0.879316
FileStore,pong,1000000000,0,1.0,1383.246321,671.619568,1141.267331,1141.374467,0.016042,1.148161,1.689725,1.720603,1.19138
FileStore,pong,1000000000,0,1.0,1344.125259,757.924246,1161.661777,1161.738092,8.928699,0.953015,2.00048,2.042382,0.978179
EndpointStore,pong,0,0,1.0,4906.065208,7.36186,4.795334,4.817746,0.016378,6.466762,10.678802,10.708495,6.492133
EndpointStore,pong,0,0,1.0,1371.323333,6.608699,4.507548,4.531332,0.02792,7.335712,7.971457,8.0079,7.36091
EndpointStore,pong,0,0,1.0,1305.944479,5.534805,4.730131,4.753752,0.026928,5.832564,10.967045,11.029982,5.851347
EndpointStore,pong,0,0,1.0,1324.86151,6.051803,4.501673,4.525051,0.040636,5.12253,9.082731,9.129032,5.140658
EndpointStore,pong,0,0,1.0,1336.214159,6.171417,4.573443,4.597552,0.027413,7.232694,11.152234,11.212422,7.250701
EndpointStore,pong,10,0,1.0,1426.919591,6.615393,4.449576,4.473721,0.018813,8.598805,10.060011,10.110387,8.625663
EndpointStore,pong,10,0,1.0,1319.422158,5.12997,4.5535,4.577289,0.029367,6.200295,12.224806,12.25959,6.218217
EndpointStore,pong,10,0,1.0,1451.874231,6.446901,4.558174,4.581317,0.025405,5.323051,6.020748,6.054517,5.347954
