proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
ZeroMQStore,pong,1,0,0,4261.631275,2.280486,2.70294,2.849599,11.148433,2.535732,1.410904,1.460239,2.585372
ZeroMQStore,pong,1,0,0,499.607593,2.218682,1.694889,1.758895,4.123328,2.179581,1.901273,1.978401,2.217708
ZeroMQStore,pong,1,0,0,500.363728,2.386729,1.788715,1.849963,4.342554,2.177788,1.608536,1.664824,2.215429
ZeroMQStore,pong,1,0,0,500.242175,2.197407,1.844813,1.907315,4.143137,2.149124,1.790039,1.850273,2.186325
ZeroMQStore,pong,1,0,0,500.659086,2.129106,1.703959,1.764175,4.124988,2.322525,1.90442,1.963444,2.359086
ZeroMQStore,pong,10,0,0,500.71032,2.158732,1.736392,1.797586,4.018703,2.190444,1.914337,1.975421,2.227255
ZeroMQStore,pong,10,0,0,500.713887,2.026538,1.756922,1.819639,4.079681,2.326216,1.888136,1.948167,2.363909
ZeroMQStore,pong,10,0,0,500.51116,2.141657,1.825986,1.887456,4.164425,2.202684,1.741085,1.801439,2.239338
ZeroMQStore,pong,10,0,0,500.037878,2.028831,1.743802,1.804343,3.73374,2.026924,1.701897,1.74808,2.06446
ZeroMQStore,pong,10,0,0,500.46529,2.425665,1.632315,1.693052,4.312987,2.076147,1.634343,1.691307,2.11273
ZeroMQStore,pong,100,0,0,500.745122,2.444,1.812065,1.873663,4.410084,2.299107,1.585666,1.64209,2.337998
ZeroMQStore,pong,100,0,0,500.92075,2.154931,1.797445,1.857575,3.924629,2.290045,1.778672,1.839162,2.332762
ZeroMQStore,pong,100,0,0,500.205365,2.102366,1.769652,1.851456,4.03244,2.195535,1.812559,1.873273,2.234444
ZeroMQStore,pong,100,0,0,500.227092,1.886571,1.681033,1.740659,3.624447,2.215111,1.491809,1.535097,2.251834
ZeroMQStore,pong,100,0,0,500.266473,2.229571,1.81809,1.88078,3.994559,2.327715,1.702217,1.762385,2.365382
ZeroMQStore,pong,1000,0,0,500.49551,2.381896,1.758696,1.820809,4.643491,2.265158,1.732229,1.792679,2.303048
ZeroMQStore,pong,1000,0,0,500.792978,2.283586,1.769322,1.832336,4.250083,2.197914,1.760842,1.82195,2.235655
