proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
margo,pong,1,0,0.0,33762.188438,17.110335,38.38223,38.557798,2181.83668,25.045459,14.230906,14.287493,25.120779
margo,pong,1,0,0.0,779.626549,0.334678,0.587296,0.649342,0.364574,0.695488,0.262432,0.296416,0.747595
margo,pong,1,0,0.0,532.731229,0.307797,0.636859,0.697792,0.328927,0.877397,0.260538,0.287629,0.956796
margo,pong,1,0,0.0,394.342151,0.34144,0.772201,0.852922,0.362179,0.544746,0.264105,0.290846,0.593408
margo,pong,1,0,0.0,398.607129,0.478577,0.586264,0.650304,0.499166,0.708011,0.19201,0.211557,0.764848
margo,pong,10,0,0.0,378.657121,0.390763,0.711417,0.785216,0.41085,0.618073,0.182122,0.200476,0.661655
margo,pong,10,0,0.0,433.734675,0.334637,0.582016,0.645925,0.354886,0.515933,0.182763,0.200987,0.56253
margo,pong,10,0,0.0,386.23955,0.320922,0.752113,0.816504,0.340669,0.810051,0.180668,0.199434,0.858442
margo,pong,10,0,0.0,450.958627,0.318718,0.527214,0.586916,0.339567,0.596083,0.184106,0.203352,0.640004
margo,pong,10,0,0.0,361.273268,0.294953,0.566587,0.632611,0.315071,0.688414,0.188494,0.207178,0.734741
margo,pong,100,0,0.0,363.549456,0.343294,0.64298,0.702311,0.363211,0.576646,0.185067,0.203682,0.624675
margo,pong,100,0,0.0,534.926877,0.352761,0.780357,0.848563,0.372709,0.760419,0.232085,0.251071,0.812957
margo,pong,100,0,0.0,377.974116,0.316644,0.778593,0.850087,0.336912,0.727637,0.236774,0.255319,0.779204
margo,pong,100,0,0.0,352.270167,0.325801,0.601122,0.669679,0.345608,0.576516,0.238868,0.257603,0.609698
margo,pong,100,0,0.0,391.813782,0.333736,0.645865,0.705206,0.354455,0.832734,0.199775,0.21867,0.876185
margo,pong,1000,0,0.0,349.598611,0.495329,0.705266,0.776489,0.51725,0.545528,0.230803,0.25055,0.581725
margo,pong,1000,0,0.0,445.638549,0.350056,0.512486,0.573821,0.370925,0.678026,0.236743,0.25589,0.725714
