backend,op,payload_size_bytes,repeat,total_time_ms,avg_time_ms,min_time_ms,max_time_ms,avg_bandwidth_mbps
ENDPOINT,GET,1000,5,23.648384999999998,7.882794999999999,7.467249,8.377063,0.12685855714882857
ENDPOINT,GET,10000,5,31.001607,10.333869,8.701425,12.487273,0.9676917715910662
ENDPOINT,GET,100000,5,58.805858,19.601952666666666,19.390782,19.80528,5.101532571806026
ENDPOINT,GET,1000000,5,290.79107,96.93035666666667,89.400869,106.63965,10.316685447046225
ENDPOINT,GET,10000000,5,2372.893029,790.964343,772.839831,808.16637,12.642794948343205
ENDPOINT,SET,1000,5,21.393493,7.131164333333333,7.033666,7.28716,0.1402295548464199
ENDPOINT,SET,10000,5,23.306077000000002,7.768692333333334,7.506309,7.99571,1.2872179217463324
ENDPOINT,SET,100000,5,51.087433,17.02914433333333,16.718254,17.287105,5.872285655848083
ENDPOINT,SET,1000000,5,247.696707,82.565569,72.388218,87.671903,12.111586126173247
ENDPOINT,SET,10000000,5,2281.8555539999998,760.6185179999999,720.844912,796.099532,13.147195030558013
ENDPOINT,EXISTS,,5,21.538225,7.179408333333334,7.074386,7.275765,
ENDPOINT,EVICT,,5,21.461101,7.153700333333333,7.023016,7.316564,
REDIS,GET,1000,5,7.241234,2.4137446666666666,2.377139,2.452331,0.4142940277858719
REDIS,GET,10000,5,7.800141999999999,2.600047333333333,2.476994,2.690442,3.8460838277046756
REDIS,GET,100000,5,17.795952,5.931984,5.840697,6.056592,16.85776630550588
REDIS,GET,1000000,5,96.091761,32.030587000000004,29.366668,34.781075,31.220158406712926
REDIS,GET,10000000,5,532.7407000000001,177.58023333333335,163.125082,197.142054,56.31257382813064
REDIS,SET,1000,5,6.926027,2.308675666666667,2.280867,2.337986,0.4331487590215862
REDIS,SET,10000,5,8.364715,2.7882383333333336,2.448336,3.28083,3.5864939809664764
REDIS,SET,100000,5,11.912011,3.970670333333333,3.876257,4.067704,25.184664453382393
REDIS,SET,1000000,5,43.836171,14.612057,14.199163,14.824987,68.43663421241787
REDIS,SET,10000000,5,375.05922599999997,125.019742,120.890494,129.925281,79.9873671151873
REDIS,EXISTS,,5,6.840198,2.280066,2.261787,2.292614,
REDIS,EVICT,,5,6.853165000000001,2.2843883333333337,2.247047,2.355599,
