proxystore_backend,task_name,input_size_bytes,output_size_bytes,task_sleep_seconds,total_time_ms,input_get_ms,input_set_ms,input_proxy_ms,input_resolve_ms,output_get_ms,output_set_ms,output_proxy_ms,output_resolve_ms
,pong,0,0,0.0,4046.960562,,,,,,,,
,pong,0,0,0.0,621.667317,,,,,,,,
,pong,0,0,0.0,529.052647,,,,,,,,
,pong,0,0,0.0,554.101767,,,,,,,,
,pong,0,0,0.0,541.189958,,,,,,,,
,pong,10,0,0.0,466.914809,,,,,,,,
,pong,10,0,0.0,438.820811,,,,,,,,
,pong,10,0,0.0,523.287965,,,,,,,,
,pong,10,0,0.0,462.239867,,,,,,,,
,pong,10,0,0.0,449.842845,,,,,,,,
,pong,100,0,0.0,472.275551,,,,,,,,
,pong,100,0,0.0,482.909308,,,,,,,,
,pong,100,0,0.0,549.23727,,,,,,,,
,pong,100,0,0.0,438.233445,,,,,,,,
,pong,100,0,0.0,449.047977,,,,,,,,
,pong,1000,0,0.0,466.720623,,,,,,,,
,pong,1000,0,0.0,452.64962,,,,,,,,
,pong,1000,0,0.0,432.05503,,,,,,,,
,pong,1000,0,0.0,507.52067,,,,,,,,
,pong,1000,0,0.0,442.569314,,,,,,,,
,pong,10000,0,0.0,440.738028,,,,,,,,
,pong,10000,0,0.0,439.492472,,,,,,,,
,pong,10000,0,0.0,453.716595,,,,,,,,
,pong,10000,0,0.0,478.769515,,,,,,,,
,pong,10000,0,0.0,505.373679,,,,,,,,
,pong,100000,0,0.0,831.315648,,,,,,,,
,pong,100000,0,0.0,820.695296,,,,,,,,
,pong,100000,0,0.0,778.125063,,,,,,,,
,pong,100000,0,0.0,813.746668,,,,,,,,
,pong,100000,0,0.0,761.335485,,,,,,,,
,pong,1000000,0,0.0,1048.825731,,,,,,,,
,pong,1000000,0,0.0,772.876838,,,,,,,,
,pong,1000000,0,0.0,730.584871,,,,,,,,
,pong,1000000,0,0.0,803.333395,,,,,,,,
,pong,1000000,0,0.0,757.9488,,,,,,,,
,pong,10000000,0,0.0,2578.279031,,,,,,,,
,pong,10000000,0,0.0,2717.27782,,,,,,,,
,pong,10000000,0,0.0,2926.338646,,,,,,,,
,pong,10000000,0,0.0,2985.150211,,,,,,,,
,pong,10000000,0,0.0,2966.077291,,,,,,,,
EndpointStore,pong,0,0,0.0,9405.603848,5442.328629,6.554609,6.619992,5468.421935,10.748322,5.530082,5.559912,10.784779
EndpointStore,pong,0,0,0.0,553.789063,15.770224,4.938407,4.982443,29.541838,11.026271,8.682508,8.740829,11.060115
EndpointStore,pong,0,0,0.0,577.116611,11.612041,4.522964,4.567706,20.564639,10.873435,5.618679,5.639668,10.902853
EndpointStore,pong,0,0,0.0,563.502182,11.162551,4.255233,4.304199,21.339052,11.152705,6.180272,6.221958,11.187201
EndpointStore,pong,0,0,0.0,613.486959,13.021097,4.83355,4.88707,23.063633,15.340912,5.971701,5.999424,15.376376
EndpointStore,pong,10,0,0.0,474.520219,10.916282,4.343825,4.378103,20.664044,11.894801,6.361227,6.386212,11.929937
EndpointStore,pong,10,0,0.0,496.508776,12.339557,4.55328,4.60406,23.125351,10.547309,6.230094,6.257825,10.577986
EndpointStore,pong,10,0,0.0,467.931248,10.625143,5.036557,5.083483,20.643762,11.276579,6.198118,6.219255,11.317711
EndpointStore,pong,10,0,0.0,507.054872,11.303089,4.972049,5.040991,23.54568,11.166871,6.496798,6.524578,11.212649
EndpointStore,pong,10,0,0.0,487.431585,11.99527,4.34795,4.393191,23.36105,14.491878,6.650523,6.702193,14.536755
EndpointStore,pong,100,0,0.0,530.762215,12.201898,7.113421,7.161027,22.772849,11.499097,5.829699,5.859204,11.544799
EndpointStore,pong,100,0,0.0,458.090603,11.215057,4.486929,4.535382,20.962406,10.491078,5.854255,5.876875,10.527375
EndpointStore,pong,100,0,0.0,473.471542,13.962044,5.369313,5.449363,26.749492,10.836846,5.272103,5.298236,10.874532
EndpointStore,pong,100,0,0.0,483.638123,10.539817,5.717685,5.771541,19.389239,10.363297,5.138772,5.15864,10.398536
EndpointStore,pong,100,0,0.0,463.361098,10.908402,5.370153,5.423361,20.005118,15.98521,5.143686,5.165529,16.020596
EndpointStore,pong,1000,0,0.0,506.134199,10.526874,5.343445,5.392758,19.593322,11.08496,5.24704,5.266823,11.129212
EndpointStore,pong,1000,0,0.0,452.733978,10.966567,4.386711,4.430598,20.085921,10.663134,5.661215,5.683208,10.722497
EndpointStore,pong,1000,0,0.0,523.953523,10.348791,5.396633,5.443251,19.166636,12.217322,5.325306,5.346078,12.265836
EndpointStore,pong,1000,0,0.0,480.41032,11.387701,4.795906,4.856948,21.175033,10.302468,5.119532,5.143254,10.348918
EndpointStore,pong,1000,0,0.0,517.801848,9.79977,4.891947,4.943792,18.632362,16.116819,5.384338,5.404429,16.156374
